#|cenario|estoque|valor|retornoEsperado|quantNotas|
#|1|10;10;10;10;10|0.00|ERRO||
#|2|10;10;10;10;10|50.00|1;0;0;0;0|1|
#|3|10;10;10;10;10|20.00|0;1;0;0;0|1|
#|4|10;10;10;10;10|10.00|0;0;1;0;0|1|
#|5|10;10;10;10;10|5.00|0;0;0;1;0|1|
#|6|10;10;10;10;10|2.00|0;0;0;0;1|1|
#|7|10;10;10;10;10|11.00|0;0;0;1;3|4|
#|8|10;10;10;10;10|13.00|0;0;0;1;4|5|
#|9|10;10;10;10;10|21.00|0;0;1;1;3|5|
#|10|10;10;10;10;10|6.00|0;0;0;0;3|3|
#|11|20;10;10;10;10|1001.00|19;2;0;1;3|25|
#|12|10;10;10;10;10|53.00|0;2;0;1;4|7|
#|13|10;10;10;10;10|17.00|0;0;1;1;1|3|
#|14|10;10;10;10;10|52.00|1;0;0;0;1|2|
#|15|10;10;10;10;10|72.00|1;1;0;0;1|3|
#|16|10;10;10;10;10|77.00|1;1;0;1;1|4|
#|17|10;10;10;10;10|87.00|1;1;1;1;1|5|
#|18|10;10;10;10;10|870.00|10;10;10;10;10|50|
#|19|5;10;10;10;10|500.00|5;10;5;0;0|20|
#|20|5;10;10;10;10|509.00|5;10;5;1;2|23|
#|21|5;0;10;10;10|400.00|5;0;10;10;0|25|
#|22|100;0;0;0;0|1400.00|28;0;0;0;0|28|
#|23|10;0;0;0;10000|4000.00|10;0;0;0;1750|1760|
#|24|150;100;0;0;10000|10000.00|150;100;0;0;250|500|
## cenários para testar uso de notas de R$ 5
#|25|10;1;1;1;10000|4000.00|10;1;1;0;1735|1747|
#|26|10;1;1;2;10000|4000.00|10;1;1;2;1730|1744|
#|27|10;1;1;3;10000|4000.00|10;1;1;2;1730|1744|
#|28|10;1;1;4;10000|4000.00|10;1;1;4;1725|1741|
## cenários para testar uso de notas de R$ 50
#|29|1;10;0;0;0|100.00|0;5;0;0;0|5|
#|30|1;10;1;0;0|100.00|1;2;1;0;0|4|
|31|1;10;0;3;0|100.00|1;2;0;2;0|5|
|32|2;10;0;3;0|100.00|2;0;0;0;0|2|
|33|1;10;0;0;0|120.00|0;6;0;0;0|6|
|34|1;10;1;0;0|120.00|1;3;1;0;0|5|
|35|1;10;0;10;0|120.00|1;3;0;2;0|6|
|36|1;10;0;0;10|120.00|0;6;0;0;0|6|
|37|3;10;0;0;0|220.00|2;6;0;0;0|8|
|38|3;10;0;1;0|215.00|3;3;0;1;0|7|
|39|3;10;0;1;0|225.00|2;6;0;1;0|9|
|40|3;10;0;1;10|225.00|2;6;0;1;0|9|
|41|3;10;0;2;10|225.00|2;6;0;1;0|9|
|42|3;10;10;1;10|225.00|3;3;1;1;0|8|
|43|3;10;0;3;10|225.00|3;3;0;3;0|9|
|44|3;10;0;10;0|225.00|3;3;0;3;0|9|
|45|3;10;0;10;10|225.00|3;3;0;3;0|9|
|46|1;10;1;0;0|120.00|1;3;1;0;0|5|
|47|0;0;0;5;90|120.00|0;0;0;4;50|54|
# este cenário não deve usar 10
|48|1;10;1;0;0|110.00|1;3;0;0;0|4|
|49|1;10;1;0;0|130.00|1;4;0;0;0|5|
####### EXCEÇÕES #######
|50|10;10;10;10;10|1.00|ERRO||
|51|10;10;10;10;10|3.00|ERRO||
|52|1000;10;10;10;10|10002.00|ERRO||
|53|1000;10;10;10;10|5.01|ERRO||
|54|1000;10;10;10;10|100.56|ERRO||
|55|0;0;0;0;0|2.0|ERRO||
|56|10;10;10;0;10|11.00|ERRO||
